query,clicks,impressions,ctr,position
スタンドkoneko,1,16,0.0625,6.25
スタンドアイダ,1,65,0.0154,7.57
スター リスト 梅田 レビュー,1,3,0.3333,11.67
スナック,1,3,0.5,46.0
スナック かくれんぼ,1,10,0.1,1.4
スナックうみ,1,28,0.0357,7.64
スナックひまつぶし,1,6,0.1667,4.5
スーパー ポジティブ バー,1,48,0.0122,7.87
ダイニングバーdank,1,2,0.5,10.0
ドトール 喫煙可能 店舗,1,6,0.1667,6.67
バルチカ03 喫煙所,1,114,0.0088,10.73
ビアンバー 梅田,1,23,0.0435,5.78
ピポロ ホルモン,1,15,0.0667,9.2
ミスターレディ,1,36,0.0278,6.42
モータースポーツバー,1,2,0.5,12.5
ラピーヌ ダイナー & カフェ,1,16,0.0625,6.94
ワイオリ 福島,1,14,0.0714,9.07
ワイン-ヤ カワスミ,1,3,0.3333,25.33
中崎町 居酒屋,1,1,1.0,18.0
中津食事処,1,1,1.0,1.0
串焼き屋台 鶴橋男串,1,3,0.3333,13.0
勝商店 梅田,1,99,0.0101,7.97
勝男 タバコ,1,4,0.25,5.0
北新地 アウル,1,4,0.25,10.75
北新地 スナック,1,5,0.25,1.83
北新地 焼肉 喫煙可,1,1,1.0,24.0
厳島 天満,1,46,0.0217,8.3
味もんじ,1,27,0.037,6.15
喫煙は,1,1,1.0,7.0
喫茶ルージュ,1,18,0.0556,9.83
大国町 浪速区 居酒屋 restaurant bar【base】 大阪市,1,58,0.0172,6.76
大阪ゲイバー,1,1,1.0,8.0
天満 ラーテル,1,5,0.2,9.0
天満 厳島,1,32,0.0313,5.69
天満炭火焼鳥わっちょい,1,4,0.25,26.75
山水,1,1,1.0,1.0
川奈ビル,1,7,0.1429,11.29
感彩人,1,21,0.0476,8.81
新時代 居酒屋 喫煙,1,1,1.0,1.0
新梅田食道街 喫煙可,1,28,0.0357,8.43
普通のスナック 梅田,1,44,0.0227,7.8
本格焼酎bar ニチヨウビ,1,68,0.0147,8.78
東通り 相席屋,1,14,0.0714,9.07
梅田 smバー,1,7,0.1429,14.57
梅田 おにぎり食べ放題,1,1,1.0,10.0
梅田 ザシングル,1,15,0.0667,9.27
梅田 ピノキオ,1,4,0.25,8.25
梅田 個室 喫煙,1,7,0.1429,9.29
梅田 個室 喫煙可,1,10,0.1,10.1
梅田 喫煙 居酒屋 個室,1,14,0.0714,9.0
梅田 喫煙 居酒屋 安い,1,5,0.2,9.0
梅田 喫煙可能 居酒屋,1,2,0.5,21.0
梅田 居酒屋 個室 喫煙可,1,16,0.0625,9.81
梅田スナック bar lounge chariot 大阪市,1,48,0.0208,5.67
湊町リバープレイス 喫煙所,1,6,0.1667,3.33
炭火焼鳥 あさヰ 中崎町,1,40,0.0132,8.21
炭火焼鳥あさヰ,1,7,0.1429,6.43
焼き鳥弘八,1,28,0.0357,10.18
焼鳥 鐘鳥 南森町店,1,31,0.0323,6.55
獣道ジビエール,1,45,0.0222,7.73
珈琲館 堂島ビルヂング店,1,3,0.3333,4.0
町中華パンダ厨房,1,19,0.0278,27.97
相席ラウンジ the single うめだ阪急東通り店,1,73,0.0074,8.96
相席ラウンジ the single うめだ阪急東通り店 写真,1,30,0.0192,8.84
福島駅 バー,1,1,1.0,1.0
立ち呑み やっすん,1,11,0.0909,6.09
自遊空間,1,2,0.5,4.0
若どり屋 天満店,1,13,0.0769,19.62
西成二代目にしかわや 梅田本店,1,14,0.0714,9.07
近くのカラオケバー,1,1,1.0,1.0
酒肆 黒崎,1,15,0.0357,11.75
野田駅 居酒屋,1,1,1.0,2.0
鉄板神社大阪梅田バルチカ03 大阪市 レビュー,1,20,0.05,8.55
難波 鮨 宮 -kyu-,1,20,0.05,8.2
黒門漁楽,1,2,0.5,8.5
06 4309 6562,0,2,0.0,11.0
06 6867 7350,0,2,0.0,10.5
0時 reizi 大阪市,0,33,0.0,7.36
0時 reizi 大阪市 レビュー,0,13,0.0,11.69
0時本店,0,1,0.0,34.0
101 居酒屋,0,1,0.0,4.0
1920 肥後橋,0,21,0.0,6.57
1969 3号店,0,1,0.0,8.0
1969 3号店 写真,0,1,0.0,18.0
2026年もですか？,0,1,0.0,3.0
24時間営業 花屋 梅田,0,1,0.0,1.0
3番街 喫煙所,0,1,0.0,12.0
719 craft beer,0,2,0.0,10.0
719 craft beer ナナイチキュウクラフトビール,0,3,0.0,9.33
719クラフトビール,0,1,0.0,9.0
7代目なお,0,2,0.0,11.0
a bar,0,3,0.0,7.67
a bar ア バー,0,5,0.0,18.08
a-bar,0,1,0.0,9.0
ageha お初天神裏参道店,0,2,0.0,16.5
ageha 梅田 ホテヘル,0,2,0.0,46.5
ai-q/アイキュー,0,1,0.0,10.0
aisekiya うめだ阪急東通り店,0,10,0.0,25.6
aladin shisha lounge,0,1,0.0,6.0
alternative bar gig'l,0,4,0.0,21.0
amusez-vous,0,1,0.0,9.0
api 北新地,0,6,0.0,8.0
aqua シーシャバー 大阪梅田店,0,3,0.0,40.67
arneck,0,1,0.0,14.0
art-beat-cafe レビュー,0,1,0.0,11.0
artas 梅田,0,3,0.0,54.33
asobibar 梅田お初天神店,0,28,0.0,10.68
asobibar 梅田茶屋町店,0,2,0.0,9.5
at the bar,0,5,0.0,9.6
axe bar,0,1,0.0,48.0
b flat bar,0,1,0.0,47.0
b4 梅田,0,58,0.0,6.84
b4梅田,0,55,0.0,6.58
baccers,0,2,0.0,11.5
bar,0,1,0.0,1.0
bar 34,0,1,0.0,8.0
bar 358,0,1,0.0,36.0
bar 4gats バークワトロガット,0,8,0.0,30.57
bar ac depth バー エーシーデプス,0,9,0.0,21.75
bar aglet,0,14,0.0,11.29
bar aglet バーアグレット,0,6,0.0,16.5
bar alain,0,7,0.0,10.29
bar alive,0,3,0.0,40.33
bar amu,0,11,0.0,23.09
bar arc バーアーク 心斎橋,0,7,0.0,13.71
bar arlequin バー アルルカン,0,1,0.0,48.0
bar asumo バーアスモ お初天神店,0,13,0.0,18.45
bar base ベース,0,2,0.0,13.0
bar belle 梅田,0,1,0.0,10.0
bar blank,0,1,0.0,8.0
bar blue 梅田,0,3,0.0,11.33
bar bota,0,7,0.0,20.57
bar branch,0,1,0.0,6.0
bar c-moon バー シームーン,0,2,0.0,10.0
bar candle レビュー,0,20,0.0,7.4
bar candle 写真,0,4,0.0,8.0
bar chari,0,1,0.0,11.0
bar cloud blank,0,38,0.0,7.11
bar cocomo,0,5,0.0,7.4
bar core,0,18,0.0,5.89
bar craftman,0,2,0.0,9.0
bar eleven,0,1,0.0,6.0
bar en,0,2,0.0,9.0
bar failte(フォルチェ) 大阪市,0,13,0.0,3.62
bar flat 梅田,0,4,0.0,8.0
bar foggy,0,3,0.0,7.67
bar galliano,0,4,0.0,9.75
bar glan,0,18,0.0,7.17
bar glass s,0,3,0.0,4.67
bar glory flower バーグローリーフラワー,0,3,0.0,14.33
bar hana,0,1,0.0,10.0
bar heather honey,0,2,0.0,13.0
bar heather honey バー ヘザー ハニー,0,7,0.0,16.57
bar hells,0,1,0.0,9.0
bar hey,0,1,0.0,9.0
bar hey hey,0,5,0.0,8.0
bar hirose,0,8,0.0,11.5
bar ignition,0,14,0.0,9.0
bar ignition レビュー,0,24,0.0,9.58
bar ippuku,0,37,0.0,5.97
bar ish,0,4,0.0,4.5
bar ish バーイッシュ,0,3,0.0,13.67
bar islet,0,13,0.0,10.15
bar jin,0,3,0.0,10.0
bar jin 仁、 バー ジン,0,11,0.0,27.71
bar jugemu バー ジュゲム,0,1,0.0,31.0
bar juniper,0,18,0.0,9.67
bar juniper 写真,0,8,0.0,9.5
bar jura,0,6,0.0,9.0
bar k,0,1,0.0,45.0
bar kadom,0,24,0.0,8.25
bar kadom カドム,0,3,0.0,21.0
bar kafka,0,2,0.0,4.0
bar kings,0,7,0.0,8.57
bar kings バー キングス,0,10,0.0,5.2
bar kings 北新地,0,1,0.0,11.0
bar kokomo,0,11,0.0,5.36
bar kokon,0,4,0.0,11.5
bar la,0,7,0.0,8.29
bar la cour,0,2,0.0,20.0
bar lacour レビュー,0,8,0.0,11.0
bar law less,0,4,0.0,6.25
bar lemon,0,1,0.0,6.0
bar lil farm,0,6,0.0,9.33
bar lips バー リップス,0,1,0.0,10.0
bar madre,0,2,0.0,2.0
bar maru,0,4,0.0,5.75
bar mm,0,7,0.0,15.71
bar moment,0,13,0.0,7.15
bar moment 西天満,0,7,0.0,13.29
bar moon walk なんば店,0,34,0.0,9.53
bar mustang,0,33,0.0,7.06
bar mustang osaka,0,2,0.0,7.0
bar na nog バルナノーグ,0,3,0.0,15.67
bar nagi,0,7,0.0,8.29
bar nagi ナギ,0,2,0.0,7.0
bar nektar,0,4,0.0,6.75
bar nellie,0,1,0.0,37.0
bar nellie 梅田,0,4,0.0,10.5
bar noisy,0,5,0.0,6.8
bar nol,0,1,0.0,11.0
bar noma,0,4,0.0,5.0
bar nord,0,19,0.0,10.74
bar nord バー ノルド,0,5,0.0,31.4
bar novel バー ノベル,0,1,0.0,31.0
bar novel 写真,0,1,0.0,5.0
bar ocean 心斎橋店,0,1,0.0,24.0
bar ocean 梅田店,0,13,0.0,27.33
bar ones,0,1,0.0,5.0
bar ones 南森町,0,2,0.0,7.0
bar pandemic バーパンデミック,0,11,0.0,24.86
bar peace 大阪市,0,21,0.0,3.0
bar peat,0,1,0.0,12.0
bar pero,0,1,0.0,9.0
bar pooh 梅田,0,1,0.0,11.0
bar power spot,0,7,0.0,7.57
bar queue,0,2,0.0,7.0
bar r:aguna 大阪市,0,53,0.0,4.64
bar reef,0,8,0.0,6.25
bar renee,0,9,0.0,9.56
bar renée,0,3,0.0,11.33
bar rise,0,3,0.0,10.33
bar rise 梅田,0,11,0.0,10.27
bar rounds,0,4,0.0,7.25
bar roy,0,1,0.0,10.0
bar s'ead,0,3,0.0,6.0
bar s-1,0,1,0.0,22.0
bar sanée,0,64,0.0,9.11
bar saravah,0,10,0.0,7.6
bar seed,0,1,0.0,1.0
bar select,0,2,0.0,4.5
bar sense,0,19,0.0,9.21
bar sip バー シップ 難波,0,3,0.0,18.0
bar sisters,0,7,0.0,5.43
bar soar,0,1,0.0,44.0
bar source,0,1,0.0,10.0
bar source 中崎町店 大阪府 大阪市北区 黒埼町11-1 osaka,0,3,0.0,8.67
bar source ２号店,0,5,0.0,24.0
bar tas,0,1,0.0,8.0
bar terra バー テラ,0,4,0.0,32.5
bar tk バーティーケー,0,1,0.0,43.0
bar tomo,0,3,0.0,3.67
bar untrace,0,6,0.0,10.0
bar vanilla,0,3,0.0,5.33
bar zari,0,23,0.0,11.13
bar オルデ,0,11,0.0,12.85
bar ナマズ,0,6,0.0,9.17
bar 北浜 junk,0,18,0.0,23.04
bar 本色,0,86,0.0,27.79
bar 淙-sou- 大阪市 レビュー,0,16,0.0,5.13
bar 狐,0,6,0.0,8.67
bar-ish,0,2,0.0,6.5
bar34,0,11,0.0,6.45
barことり,0,4,0.0,20.25
bar倉,0,1,0.0,11.0
bar曽根崎心空,0,4,0.0,9.75
bar２ 喫煙可,0,3,0.0,36.75
beer bar landnneur ランドヌール,0,7,0.0,21.29
bell 新梅田食道街 大阪市,0,1,0.0,10.0
bell 梅田,0,1,0.0,28.0
blank cloud,0,1,0.0,11.0
bloody angle osaka,0,3,0.0,10.0
bloody angle osaka tong,0,8,0.0,8.63
bottom time ボトムタイム,0,16,0.0,6.75
branch bar,0,1,0.0,18.0
cafe & bar roy ロイ,0,15,0.0,22.63
cafe & bar spat's,0,3,0.0,9.33
cafe and bar sol,0,1,0.0,17.0
cafe andre,0,18,0.0,9.28
cafe bar queue,0,5,0.0,9.2
cafe cocodoco,0,2,0.0,26.0
cafe cocodoco 写真,0,1,0.0,9.0
cafe mieel,0,1,0.0,4.0
cafe miel,0,2,0.0,22.0
cafe queue,0,12,0.0,6.42
cafe roy,0,1,0.0,10.0
cafe sanbankan 千里津雲台店,0,1,0.0,21.0
cafe spat’s,0,7,0.0,12.86
cafe& bar paddle-パドル-,0,1,0.0,11.0
cafe&bar kenwest ケンウェスト,0,1,0.0,16.0
cafe&bar mitoco,0,16,0.0,6.81
cafe&bar queue 最寄り 駅,0,2,0.0,12.0
cafe&bar seed,0,4,0.0,11.25
cafe&bar seed 梅田,0,3,0.0,10.0
cafe&diner encontre カフェ&ダイナー エンコンテレ,0,5,0.0,11.8
cafe&diner encontre カフェ&ダイナー エンコンテレ メニュー,0,1,0.0,10.0
cafe&diner encontre カフェ&ダイナー エンコンテレ 写真,0,2,0.0,5.5
cafe&dining boo,0,10,0.0,10.6
cafe&dining boo カフェアンドダイニングブー,0,5,0.0,6.8
cafe-bar cross,0,3,0.0,16.0
cafe友恵,0,2,0.0,7.0
cafe＆bar hey hey（バーヘイヘイ） 大阪市,0,12,0.0,8.42
cafe＆bar hey hey（バーヘイヘイ） 大阪市 レビュー,0,9,0.0,5.11
caffe luca 堂島アバンザ,0,8,0.0,16.0
caffe piazza del popolo,0,1,0.0,7.0
caffe piazza del popolo 梅田スカイビル店,0,21,0.0,10.71
caffe piazza del popolo 梅田スカイビル店 メニュー,0,5,0.0,10.2
caffe pizza del popolo 梅田スカイビル店,0,17,0.0,10.65
caffè piazza del popolo,0,18,0.0,7.94
candle bar,0,1,0.0,11.0
candle梅田,0,6,0.0,10.17
candy 大阪,0,1,0.0,30.0
candy大阪,0,1,0.0,19.0
champagne&wine salon la cuvee シャンパン&ワイン サロン ラ キュベ,0,8,0.0,23.13
chill lounge,0,20,0.0,5.7
chill lounge 梅田,0,39,0.0,9.38
chill lounge梅田店,0,6,0.0,10.33
chill lounge梅田店 大阪市,0,18,0.0,8.11
chill lounge梅田店 大阪市 レビュー,0,5,0.0,7.6
chill spot チルスポット,0,2,0.0,31.0
cinquecento,0,2,0.0,82.0
cloud blank,0,1,0.0,10.0
club lilith (リリス) レビュー,0,20,0.0,10.35
clubzizi,0,16,0.0,10.56
cocktail machine,0,7,0.0,8.57
collection 梅田 バー,0,1,0.0,1.0
coo’s dining,0,2,0.0,31.0
couzen,0,1,0.0,11.0
craft beer base branch,0,1,0.0,18.0
craft sake bar hirose,0,2,0.0,21.5
craftbeerbar,0,1,0.0,4.0
craftman umami,0,1,0.0,28.0
craftroom,0,6,0.0,8.5
crossy,0,1,0.0,78.0
cucina cucina,0,2,0.0,10.5
cucina cucina クチーナ クチーナ 北新地,0,3,0.0,22.33
cucina cucina クチーナクチーナ,0,1,0.0,12.0
dada 大阪市,0,1,0.0,10.0
dada 大阪市 写真,0,6,0.0,10.0
dada 梅田,0,9,0.0,6.89
dada 焼き鳥,0,1,0.0,9.0
darts&karaoke パーティー 901 qlay 梅田店,0,4,0.0,39.0
def 中津,0,22,0.0,6.73
dining bar alive,0,6,0.0,21.33
dining bar big up,0,15,0.0,6.73
dining bar big up ダイニングバービッグアップ,0,8,0.0,5.5
dining bar camp,0,2,0.0,27.5
dining bar dank,0,7,0.0,17.0
dining bar liberty ダイニング バー リバティー 梅田店,0,3,0.0,35.33
dining bar m's,0,7,0.0,42.15
dining&bar∞eight,0,2,0.0,23.5
diningbar couzen コウゼン,0,7,0.0,14.71
donna luciana,0,2,0.0,11.5
dotonbori traveler's lounge,0,1,0.0,11.0
dynamic kitchen & bar 響 中之島フェスティバルプラザ店,0,5,0.0,34.8
e bar,0,1,0.0,6.0
e-bar,0,3,0.0,7.67
english,0,1,0.0,5.0
eva member,0,1,0.0,7.0
experience bar,0,1,0.0,6.0
eバー,0,2,0.0,7.5
fab 梅田,0,4,0.0,12.0
farplane,0,2,0.0,38.0
farplane parco店,0,2,0.0,13.0
farplane レビュー,0,1,0.0,11.0
fizz bar,0,5,0.0,7.8
foce,0,1,0.0,13.0
food bar 悠,0,4,0.0,21.5
foodsbar・core,0,1,0.0,33.0
for yu,0,9,0.0,8.78
fumus,0,10,0.0,8.2
gammedcafe,0,23,0.0,6.74
garb weeks,0,54,0.0,36.98
garb weeks ガーブ ウィークス,0,4,0.0,25.25
gino karaoke & darts ジーノ カラオケ アンド ダーツ,0,5,0.0,13.8
goku bar,0,1,0.0,10.0
graffiti bar,0,2,0.0,8.0
graffiti joker,0,1,0.0,10.0
grand bar,0,1,0.0,1.0
grass グラス なんばアメ村店,0,10,0.0,20.2
grass シーシャ,0,10,0.0,8.8
grass シーシャ アメ村店,0,21,0.0,6.57
gypsy13,0,12,0.0,5.92
half way tree,0,2,0.0,7.5
hana coffee,0,2,0.0,7.0
heyhey bar,0,1,0.0,8.0
house bar muse,0,1,0.0,29.0
hubエキマルシェ大阪ウメスト店,0,8,0.0,30.0
ignition bar,0,12,0.0,8.58
italian meat bal utility,0,2,0.0,11.0
italian meat bal utility イタリアン ミートバル ユーティリティー,0,13,0.0,8.0
izakaya kamonn,0,1,0.0,25.0
jaja bar レビュー,0,1,0.0,19.0
"japan, 〒530-0011 osaka, kita ward, ofukacho, 6−38 グラングリーン大阪 北館 バー＆ラウンジ「!jaja! bar（ジャジャバー）」",0,7,0.0,9.29
jaw dim,0,3,0.0,10.33
jazz on top 梅田,0,6,0.0,7.67
jis namba,0,5,0.0,16.4
john's lane,0,1,0.0,6.0
jr難波 喫煙所,0,1,0.0,37.0
k club osaka,0,5,0.0,6.6
k-club osaka,0,2,0.0,6.5
kadom,0,4,0.0,6.5
kaffe bar nellie,0,2,0.0,30.5
kaffe bar nellie 予約,0,3,0.0,13.33
kaffe bar nellie 写真,0,1,0.0,18.0
kafka bar,0,1,0.0,5.0
kafka listening bar,0,1,0.0,12.0
kafka osaka,0,17,0.0,6.53
kafka the listening & bar 大阪市,0,18,0.0,8.33
kaisen nikuteppambaru okiumiya,0,21,0.0,26.14
karaoke＆bar milimili 大阪市,0,2,0.0,8.0
kemuri 北浜,0,1,0.0,10.0
kemuri 大阪市,0,6,0.0,10.17
kemuri 大阪市 レビュー,0,5,0.0,9.4
kiefel 阪急三番街店,0,23,0.0,9.39
kiefel 阪急三番街店 レビュー,0,2,0.0,11.0
kiefel 阪急三番街店 写真,0,1,0.0,10.0
kirip,0,1,0.0,11.0
kirip truman,0,1,0.0,21.0
kitte 喫煙所,0,6,0.0,5.5
kitte 喫煙所 大阪,0,1,0.0,7.0
kitte 大阪 喫煙所,0,3,0.0,1.0
kitte 梅田 喫煙所,0,1,0.0,10.0
kitte大阪 喫煙所,0,4,0.0,3.25
kitte大阪喫煙所,0,4,0.0,7.0
koko head,0,2,0.0,9.5
koko head cafe,0,1,0.0,48.0
koko head cafe osaka,0,4,0.0,17.75
koko head cafe osaka ココヘッドカフェ 大阪,0,1,0.0,47.0
kou's,0,3,0.0,5.33
kushiyakiyatai tsuruhashiotokogushi,0,4,0.0,5.5
la champagne,0,15,0.0,9.27
lapichu,0,8,0.0,7.25
lapine 梅田,0,1,0.0,11.0
le cercle,0,21,0.0,20.38
liminal 天満,0,7,0.0,8.86
lounge ange,0,4,0.0,10.5
lounge el,0,2,0.0,4.5
m lounge,0,2,0.0,5.0
mahaloja マハロジャ,0,1,0.0,11.0
maharaja マハラジャ,0,1,0.0,15.0
maharaja マハラジャ レビュー,0,4,0.0,10.75
malt whisky bar,0,1,0.0,9.0
marciero,0,5,0.0,7.8
marciero マリシエロ,0,6,0.0,30.67
meat lab.8129,0,1,0.0,42.0
meat lab.8129 グランフロント大阪,0,1,0.0,31.0
memberseva,0,1,0.0,2.0
mememe 梅田,0,20,0.0,8.65
miel cafe,0,1,0.0,5.0
mojito 7 bar,0,1,0.0,10.0
musch ムッシュ 梅田hep前店,0,5,0.0,40.89
musch ムッシュ 梅田曽根崎店,0,6,0.0,34.5
musch 大阪,0,1,0.0,15.0
musch 曽根崎,0,1,0.0,10.0
musch 梅田曽根崎店,0,1,0.0,9.0
muse なんば 道頓堀 店 レビュー,0,8,0.0,11.0
muse なんば 道頓堀店,0,2,0.0,22.0
mustang bar,0,5,0.0,7.6
mustangbar,0,2,0.0,7.5
mustangs bar,0,1,0.0,6.0
nakayan bar,0,1,0.0,13.0
nel なんばウォーク,0,3,0.0,11.33
nito 梅田,0,2,0.0,10.5
nnn なんば,0,6,0.0,10.33
no name shisha cafe barお初天神店(ノーネームシーシャカフェバー),0,1,0.0,9.0
north bar,0,1,0.0,12.0
north trunk,0,1,0.0,13.0
north trunk ノーストランク グランフロント店,0,3,0.0,25.67
north trunk(ノーストランク) グランフロント店,0,2,0.0,26.5
nu 茶屋町 喫煙所,0,8,0.0,11.13
nu茶屋町 喫煙所,0,51,0.0,11.61
nu茶屋町喫煙所,0,1,0.0,12.0
okiumiya,0,1,0.0,30.0
ooluto kitchen bar,0,19,0.0,17.71
oriental lounge temma - オリエンタルラウンジ 天満 大阪市 レビュー,0,1,0.0,5.0
ouyea,0,10,0.0,6.0
paddle,0,1,0.0,2.0
parco 喫煙所,0,12,0.0,7.17
parco喫煙所,0,3,0.0,6.0
paska パスカ,0,11,0.0,34.5
piazza del popolo,0,5,0.0,9.4
picoty 梅田,0,3,0.0,7.33
porori,0,2,0.0,11.0
pronto プロント 大阪堂島店,0,7,0.0,34.57
pumpkin rock,0,1,0.0,13.0
pumpkin rocks,0,16,0.0,10.06
pumpkin rocks レビュー,0,11,0.0,10.27
pumpkinrocks パンプキンロックス 梅田店,0,9,0.0,28.78
pupupu petit a petit bakery&kitchen プププ プティタプティ,0,5,0.0,29.75
queue cafe,0,1,0.0,8.0
queue cafe&rooftop,0,28,0.0,10.14
queue カフェ,0,201,0.0,8.43
queue カフェ 予約,0,2,0.0,6.5
queue カフェ 大阪,0,16,0.0,9.38
queue 中之島,0,32,0.0,10.72
queue 大阪,0,48,0.0,10.0
queue 大阪カフェ,0,17,0.0,9.0
queue 肥後橋,0,11,0.0,10.0
queueカフェ,0,46,0.0,8.65
queueカフェ 中之島,0,34,0.0,9.38
queue中之島,0,3,0.0,11.67
queue大阪,0,2,0.0,10.0
queue大阪カフェ,0,4,0.0,9.5
r623,0,4,0.0,5.75
r623 バー,0,7,0.0,8.71
r623 梅田,0,27,0.0,7.15
record bar moon shine,0,4,0.0,6.5
reef bar,0,4,0.0,9.75
reefbar,0,1,0.0,16.0
reizi,0,6,0.0,9.17
renee bar,0,1,0.0,6.0
rise 梅田,0,1,0.0,11.0
rivers bar condo,0,3,0.0,16.67
rock bar drink or die,0,6,0.0,8.33
rock bar drink or die ロックバードリンクオアダイ,0,8,0.0,11.13
rooftop bar le'a craft,0,5,0.0,22.4
rush 梅田,0,2,0.0,10.0
salon1201,0,4,0.0,14.75
samboa bar,0,1,0.0,38.0
samboa bar ヒルトンプラザ イースト店,0,4,0.0,13.5
samboa osaka terminal,0,2,0.0,10.0
sanwoon,0,1,0.0,4.0
sayamistyle,0,3,0.0,8.33
sayamistyle(サヤミスタイル) 難波の立ち飲み,0,63,0.0,9.86
sayamistyle(サヤミスタイル) 難波の立ち飲み メニュー,0,12,0.0,9.92
sayamistyle(サヤミスタイル) 難波の立ち飲み レビュー,0,10,0.0,11.0
second fill,0,1,0.0,12.0
seed 梅田,0,1,0.0,18.0
shaka bar,0,3,0.0,10.67
shaka bar osaka,0,34,0.0,9.76
shamba 大阪アメ村店,0,1,0.0,48.0
shisha cafe chill シーシャカフェチル 梅田堂山店,0,2,0.0,44.0
shisha cafe fumus お初天神店,0,6,0.0,37.61
shisha cafe fumus 梅田中崎町店,0,5,0.0,35.92
shisha cafe fumus 梅田堂山店,0,13,0.0,31.98
shisha cafe ras シーシャ カフェ ラス アメ村店,0,1,0.0,43.0
shisha cafe&bar cachette カシェット,0,9,0.0,38.81
shisha cafe&bar link,0,12,0.0,9.92
shisha link,0,3,0.0,11.0
shot bar 1:8(ワンエイト),0,3,0.0,7.67
shot bar nobu,0,1,0.0,11.0
shot bar nokonoko,0,1,0.0,8.0
shot bar oak,0,1,0.0,36.0
shot bar one or eight,0,8,0.0,8.75
shot bar one or eight ショットバー ワン オア エイト,0,3,0.0,13.67
shot bar one：eight,0,3,0.0,10.67
shot bar soar,0,9,0.0,8.78
shot bar ウイスキー研究所,0,8,0.0,12.25
simbar,0,1,0.0,8.0
site:onrender.com,0,2,0.0,3.0
six・plus・cafe,0,2,0.0,30.0
sm 梅田,0,1,0.0,41.0
smバー 大阪,0,1,0.0,1.0
smバー 梅田,0,11,0.0,12.91
snack kumachan,0,22,0.0,9.27
snack kumachan osaka,0,5,0.0,9.0
snack ｚｅｎ,0,2,0.0,7.0
snack25 nico 大阪市,0,1,0.0,6.0
soar bar,0,2,0.0,9.5
soar bar ソアーバー,0,3,0.0,33.67
sol 梅田,0,2,0.0,31.0
spat's,0,1,0.0,9.0
sports bar seed,0,8,0.0,9.13
stand alre スタンドアルル,0,9,0.0,17.44
stand fab,0,7,0.0,7.14
star rist スターリスト 梅田お初天神店,0,6,0.0,24.0
starrist,0,1,0.0,11.0
super positive bar,0,31,0.0,6.03
su梅田,0,9,0.0,2.89
sweetmoon,0,1,0.0,8.0
sweetsとbar 悠,0,9,0.0,8.78
sweetsとbar 悠 メニュー,0,2,0.0,11.0
